lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
17.8947368421053,1.14736842105263,Male,AV Replacement + CAB,0.02599,0.17974,0.00182,0.08573,0.01314,0.10457,0.03751,0.09426,0.32814
17.8947368421053,1.14736842105263,Female,AV Replacement + CAB,0.03613,0.21292,0.00213,0.11478,0.01559,0.15444,0.04599,0.08849,0.22201
17.8947368421053,1.26315789473684,Male,AV Replacement + CAB,0.02734,0.18866,0.00182,0.08957,0.0135,0.10878,0.04107,0.09672,0.31609
17.8947368421053,1.26315789473684,Female,AV Replacement + CAB,0.03798,0.22304,0.00213,0.11975,0.01601,0.1603,0.05032,0.09082,0.21263
17.8947368421053,1.37894736842105,Male,AV Replacement + CAB,0.02875,0.1979,0.00182,0.09356,0.01387,0.11314,0.04496,0.09924,0.30429
17.8947368421053,1.37894736842105,Female,AV Replacement + CAB,0.03992,0.23349,0.00213,0.1249,0.01645,0.16633,0.05503,0.0932,0.20354
17.8947368421053,1.49473684210526,Male,AV Replacement + CAB,0.03023,0.20749,0.00182,0.09771,0.01425,0.11764,0.0492,0.10182,0.29274
17.8947368421053,1.49473684210526,Female,AV Replacement + CAB,0.04196,0.24428,0.00213,0.13025,0.01689,0.17255,0.06015,0.09564,0.19474
17.8947368421053,1.61052631578947,Male,AV Replacement + CAB,0.03179,0.21742,0.00182,0.10203,0.01464,0.12231,0.05381,0.10445,0.28144
17.8947368421053,1.61052631578947,Female,AV Replacement + CAB,0.0441,0.2554,0.00213,0.13579,0.01735,0.17895,0.06572,0.09813,0.18623
17.8947368421053,1.72631578947368,Male,AV Replacement + CAB,0.03343,0.22769,0.00182,0.10651,0.01503,0.12713,0.05883,0.10715,0.27042
17.8947368421053,1.72631578947368,Female,AV Replacement + CAB,0.04634,0.26685,0.00213,0.14152,0.01782,0.18553,0.07177,0.10068,0.17801
17.8947368421053,1.84210526315789,Male,AV Replacement + CAB,0.03515,0.2383,0.00182,0.11117,0.01544,0.13211,0.06429,0.10991,0.25967
17.8947368421053,1.84210526315789,Female,AV Replacement + CAB,0.04868,0.27862,0.00213,0.14746,0.01831,0.1923,0.07833,0.10329,0.17008
17.8947368421053,1.95789473684211,Male,AV Replacement + CAB,0.03695,0.24924,0.00182,0.116,0.01586,0.13726,0.07021,0.11273,0.2492
17.8947368421053,1.95789473684211,Female,AV Replacement + CAB,0.05114,0.29071,0.00213,0.1536,0.0188,0.19925,0.08543,0.10596,0.16243
17.8947368421053,2.07368421052632,Male,AV Replacement + CAB,0.03884,0.26051,0.00182,0.12102,0.0163,0.14258,0.07664,0.11561,0.23902
17.8947368421053,2.07368421052632,Female,AV Replacement + CAB,0.05372,0.3031,0.00213,0.15995,0.01931,0.20639,0.09311,0.1087,0.15506
17.8947368421053,2.18947368421053,Male,AV Replacement + CAB,0.04082,0.2721,0.00182,0.12622,0.01674,0.14806,0.0836,0.11856,0.22913
17.8947368421053,2.18947368421053,Female,AV Replacement + CAB,0.05642,0.31578,0.00213,0.1665,0.01984,0.21372,0.1014,0.11149,0.14797
